Pair_ID,Exporter,Importer,Base_Year,Base_Month,Forecast_Horizon_M,Forecast_Exporter_Price,Forecast_Importer_Price,Logistics_Cost,Forward_MIS,Forward_Arbitrage,Forward_Strong_Signal,Current_MIS,MIS_Delta
KEN→TAN,Kenya,Tanzania,2022,2,1,0.3118,0.2733,0.1068,-1.3607,0,0,-1.9362,0.5755
KEN→TAN,Kenya,Tanzania,2022,2,2,0.3064,0.277,0.1068,-1.2751,0,0,-1.9362,0.6611
KEN→TAN,Kenya,Tanzania,2022,2,3,0.3022,0.2798,0.1068,-1.2095,0,0,-1.9362,0.7268
KEN→TAN,Kenya,Tanzania,2022,2,4,0.2986,0.2822,0.1068,-1.1541,0,0,-1.9362,0.7821
KEN→TAN,Kenya,Tanzania,2022,2,5,0.2955,0.2843,0.1068,-1.1053,0,0,-1.9362,0.8309
KEN→TAN,Kenya,Tanzania,2022,2,6,0.2927,0.2862,0.1068,-1.0612,0,0,-1.9362,0.875
TAN→KEN,Tanzania,Kenya,2022,2,1,0.2742,0.3427,0.1068,-0.3584,0,0,-0.0638,-0.2946
TAN→KEN,Tanzania,Kenya,2022,2,2,0.2782,0.35,0.1068,-0.3276,0,0,-0.0638,-0.2639
TAN→KEN,Tanzania,Kenya,2022,2,3,0.2813,0.3556,0.1068,-0.304,0,0,-0.0638,-0.2403
TAN→KEN,Tanzania,Kenya,2022,2,4,0.2839,0.3604,0.1068,-0.2841,0,0,-0.0638,-0.2204
TAN→KEN,Tanzania,Kenya,2022,2,5,0.2862,0.3646,0.1068,-0.2666,0,0,-0.0638,-0.2028
TAN→KEN,Tanzania,Kenya,2022,2,6,0.2883,0.3683,0.1068,-0.2507,0,0,-0.0638,-0.187
TAN→ZAM,Tanzania,Zambia,2022,8,1,0.3889,,0.1986,-2.0573,0,0,-2.0573,0.0
TAN→ZAM,Tanzania,Zambia,2022,8,2,0.3946,,0.1986,-2.0573,0,0,-2.0573,0.0
TAN→ZAM,Tanzania,Zambia,2022,8,3,0.399,,0.1986,-2.0573,0,0,-2.0573,0.0
TAN→ZAM,Tanzania,Zambia,2022,8,4,0.4027,,0.1986,-2.0573,0,0,-2.0573,0.0
TAN→ZAM,Tanzania,Zambia,2022,8,5,0.406,,0.1986,-2.0573,0,0,-2.0573,0.0
TAN→ZAM,Tanzania,Zambia,2022,8,6,0.409,,0.1986,-2.0573,0,0,-2.0573,0.0
ZAM→TAN,Zambia,Tanzania,2022,8,1,,0.3877,0.1986,0.0573,1,0,0.0573,0.0
ZAM→TAN,Zambia,Tanzania,2022,8,2,,0.3929,0.1986,0.0573,1,0,0.0573,0.0
ZAM→TAN,Zambia,Tanzania,2022,8,3,,0.3969,0.1986,0.0573,1,0,0.0573,0.0
ZAM→TAN,Zambia,Tanzania,2022,8,4,,0.4003,0.1986,0.0573,1,0,0.0573,0.0
ZAM→TAN,Zambia,Tanzania,2022,8,5,,0.4032,0.1986,0.0573,1,0,0.0573,0.0
ZAM→TAN,Zambia,Tanzania,2022,8,6,,0.4059,0.1986,0.0573,1,0,0.0573,0.0
KEN→ZAM,Kenya,Zambia,2023,12,1,,,0.3067,-1.5478,0,0,-1.5478,0.0
KEN→ZAM,Kenya,Zambia,2023,12,2,,,0.3067,-1.5478,0,0,-1.5478,0.0
KEN→ZAM,Kenya,Zambia,2023,12,3,,,0.3067,-1.5478,0,0,-1.5478,0.0
KEN→ZAM,Kenya,Zambia,2023,12,4,,,0.3067,-1.5478,0,0,-1.5478,0.0
KEN→ZAM,Kenya,Zambia,2023,12,5,,,0.3067,-1.5478,0,0,-1.5478,0.0
KEN→ZAM,Kenya,Zambia,2023,12,6,,,0.3067,-1.5478,0,0,-1.5478,0.0
ZAM→KEN,Zambia,Kenya,2023,12,1,,,0.3067,-0.4522,0,0,-0.4522,0.0
ZAM→KEN,Zambia,Kenya,2023,12,2,,,0.3067,-0.4522,0,0,-0.4522,0.0
ZAM→KEN,Zambia,Kenya,2023,12,3,,,0.3067,-0.4522,0,0,-0.4522,0.0
ZAM→KEN,Zambia,Kenya,2023,12,4,,,0.3067,-0.4522,0,0,-0.4522,0.0
ZAM→KEN,Zambia,Kenya,2023,12,5,,,0.3067,-0.4522,0,0,-0.4522,0.0
ZAM→KEN,Zambia,Kenya,2023,12,6,,,0.3067,-0.4522,0,0,-0.4522,0.0
